id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line
,,6500,6500,6500, 60 months,14.65%,153.45,C,C3,Southwest Rural metro,5 years,OWN,72000,Not Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/15/11 > I had recived a loan from Citi Financial about a year ago, I was paying 29.99 intrest, so the refinance is to cut that rate since cleaning up my credit I have been paying everything on time as shown on my credit report<br>",debt_consolidation,High intrest Consolidation,853xx,AZ,16.12,0,Jan-98
,,12000,12000,12000, 36 months,12.69%,402.54,B,B5,UCLA,10+ years,OWN,75000,Source Verified,Dec-11,Fully Paid,n,,,debt_consolidation,Consolidation,913xx,CA,10.78,0,Oct-89
,,9000,9000,9000, 36 months,13.49%,305.38,C,C1,Va. Dept of Conservation/Recreation,< 1 year,RENT,30000,Source Verified,Dec-11,Charged Off,n,,  Borrower added on 12/15/11 > Plan to pay off 2 charge accounts. I will close one of them and ask for a credit line decrease from the other. Also borrowed money from a friend and would like to pay that off.......<br><br>  Borrower added on 12/17/11 > The credit card that I am asking to be decreased will be ONLY for emergency purposes.....<br>,debt_consolidation,freedom,245xx,VA,10.08,0,Apr-04
,,3000,3000,3000, 36 months,9.91%,96.68,B,B1,Target,3 years,RENT,15000,Source Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/19/11 > I intend to pay this debt off within half the time allotted.Home-brewer investing in equipment, hopefully someday a brewpub owner with delicious beers to sell and locally grown produced meat and vegetables.So, this is my start, and thank you for lending! One day I will repay the favor and lend back<br>",credit_card,citicard fund,606xx,IL,12.56,0,Jul-03
,,10000,10000,10000, 36 months,10.65%,325.74,B,B2,SFMTA,3 years,RENT,100000,Source Verified,Dec-11,Charged Off,n,,,other,Other Loan,951xx,CA,7.06,0,May-91
,,1000,1000,1000, 36 months,16.29%,35.31,D,D1,Internal revenue Service,< 1 year,RENT,28000,Not Verified,Dec-11,Fully Paid,n,,,debt_consolidation,Debt Consolidation Loan,641xx,MO,20.31,0,Sep-07
,,10000,10000,10000, 36 months,15.27%,347.98,C,C4,Chin's Restaurant,4 years,RENT,42000,Not Verified,Dec-11,Fully Paid,n,,,home_improvement,Home,921xx,CA,18.6,0,Oct-98
,,3600,3600,3600, 36 months,6.03%,109.57,A,A1,Duracell,10+ years,MORTGAGE,110000,Not Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/15/11 > Payoff other lending club acct and pull out money for purchase<br><br> Borrower added on 12/15/11 > payoff current lending club account and take money for purchase<br>,major_purchase,Holiday,067xx,CT,10.52,0,Aug-93
,,6000,6000,6000, 36 months,11.71%,198.46,B,B3,Connection Inspection,1 year,MORTGAGE,84000,Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/16/11 > This is a loan i am really looking forward to it will help me and my whole family.  thank you<br><br> Borrower added on 12/18/11 > This loan is for a medical procedure I've been waiting 3 years for hope to get it!! Thanks.<br>,medical,Medical,890xx,UT,18.44,2,Oct-03
,,9200,9200,9200, 36 months,6.03%,280.01,A,A1,Network Interpreting Service,6 years,RENT,77385.19,Not Verified,Dec-11,Fully Paid,n,,,debt_consolidation,lowerratemeanseasiertogetoutofdebt!,921xx,CA,9.86,0,Jan-01
,,20250,20250,19142.16108, 60 months,15.27%,484.63,C,C4,Archdiocese of Galveston Houston,3 years,RENT,43370,Verified,Dec-11,Fully Paid,n,,"After amassing credit card debt through several years of college, I now have spending under control and a stable job. With this loan I plan to pay off all the credit cards and close them down immediately. I have a good balance between living expenses and debt repayment.<br> Over several years in college I amassed a large debt in credit cards.  Now that I have a stable job and spending under control I will use this loan to consolidate credit card debt and to close them immediately.  I never miss payments and I follow a strict monthly budget of $1,350 in living expenses and a $339 car note.  I have enough in savings to cover 6 months of all expenses, including this loan payment.  Absolutely every other dollar is dedicated to debt repayment.  Please let me know if you have any other questions.<br> Borrower added on 12/15/11 > Over several years in college I amassed a large debt in credit cards.  Now that I have a stable job and spending under control I will use this loan to consolidate credit card debt and to close them immediately.  I never miss payments and I follow a strict monthly budget of $1,350 in living expenses and a $339 car note.  I have enough in savings to cover 6 months of all expenses, including this loan payment.  Absolutely every other dollar is dedicated to debt repayment.<br><br>Please let me know if you have any other questions.<br><br> Borrower added on 12/16/11 > After amassing credit card debt from years in college I have put spending under control. With my stable job, I hope to use this loan to pay off all the credit cards and close them down immediately. My monthly income is balanced between living expenses and loan repayment.  Thank you!<br><br> Borrower added on 12/16/11 > After amassing credit card debt through several years of college, I now have spending under control and a stable job.  With this loan I plan to pay off all the credit cards and close them down immediately.  I have a good balance between living expenses and debt repayment.<br>",debt_consolidation,Freedom From Credit Cards,770xx,TX,26.53,0,Nov-97
,,21000,21000,21000, 36 months,12.42%,701.73,B,B4,Osram Sylvania,10+ years,RENT,105000,Verified,Dec-11,Charged Off,n,,  Borrower added on 12/16/11 > Decided to clean up the debt and get my finances together.  Thank you for your consideration.<br>,debt_consolidation,Debt Cleanup,335xx,FL,13.22,0,Feb-83
,,10000,10000,10000, 36 months,11.71%,330.76,B,B3,Value Air,10+ years,OWN,50000,Source Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/17/11 > Have a stable job, will be absolutely no problem making monthly payments.  Loan will be used to close high interest credit card accounts on which I've never had a late payment.<br>",credit_card,Credit Card Loan,799xx,TX,11.18,0,Jul-85
,,10000,10000,10000, 36 months,11.71%,330.76,B,B3,Wells Fargo Bank,5 years,RENT,50000,Not Verified,Dec-11,Fully Paid,n,,,debt_consolidation,Debt Consolidation,917xx,CA,16.01,0,Apr-03
,,6000,6000,6000, 36 months,11.71%,198.46,B,B3,bmg-educational,1 year,RENT,76000,Not Verified,Dec-11,Charged Off,n,,,major_purchase,cash,900xx,CA,2.4,0,Jun-01
,,15000,15000,15000, 36 months,9.91%,483.38,B,B1,Winfield Pathology Consultants,2 years,MORTGAGE,92000,Verified,Dec-11,Fully Paid,n,,,credit_card,No more credit card debt!,605xx,IL,29.44,0,Feb-02
,,15000,15000,8725, 36 months,14.27%,514.64,C,C2,nyc transit,9 years,RENT,60000,Not Verified,Dec-11,Charged Off,n,,  Borrower added on 12/15/11 > looking to consolidate into just one monthly payment<br>,debt_consolidation,consolidation,103xx,NY,15.22,0,Oct-03
,,5000,5000,5000, 60 months,16.77%,123.65,D,D2,Frito Lay,2 years,RENT,50004,Not Verified,Dec-11,Charged Off,n,,  Borrower added on 12/16/11 > I have a stable job where I will never get laid off.<br><br> Borrower added on 12/16/11 > I need the loan to pay for some recent medical expenses and I need to get my car fixed.<br>,other,Other,150xx,PA,13.97,3,Oct-03
,,4000,4000,4000, 36 months,11.71%,132.31,B,B3,Shands Hospital at the University of Fl,10+ years,MORTGAGE,106000,Not Verified,Dec-11,Fully Paid,n,,,debt_consolidation,Debt Consolidation,326xx,FL,5.63,1,Aug-84
,,8500,8500,8500, 36 months,11.71%,281.15,B,B3,Oakridge homes,< 1 year,RENT,25000,Source Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/15/11 > My loan is for paying off my credit cards and being able to get a place to live since I live with my uncle at the moment and he needs me to leave. <br><br>  Borrower added on 12/17/11 > Im responsible and i pay my bills on time if not early. i have a great payment history. having this loan would really help me out. thank you<br>,credit_card,Credit card repayment loan,564xx,MN,12.19,0,Nov-06
,,4375,4375,4375, 36 months,7.51%,136.11,A,A3,,7 years,MORTGAGE,17108,Source Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/17/11 > This loan is a great opportunity and will help me gain better control over my finances. The convenience of one payment and one rate will help me save money and create better opportunities for myself for future planning. My career and income are secure and I believe in financial responsibility.<br>,debt_consolidation,Debt Consolidation,141xx,NY,20.34,0,Dec-87
,,31825,31825,31825, 36 months,7.90%,995.82,A,A4,Audubon Mutual Housing Corporation,5 years,MORTGAGE,75000,Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/15/11 > Hello<br>I plan to use my funds to pay off my credit cards 100%.  <br>I pay more in minimum payments now than my loan payment will be and you can see by my credit report that I always repay my debts.<br>I have a very secure job in property management.  I have been with the company for close to 6 years.<br><br> Borrower added on 12/16/11 > In addition to the other info provided I would like to add that a majority of our credit card debt was from overruns when we added an addition to our home.  Unfortunately to finish the job we needed to use credit cards as our home equity line was cut during after the real estate bubble burst.<br><br>  Borrower added on 12/17/11 > One more note regarding my credit card payments.  Currently I have close to $2000.00 dollars a month budgeted.  The less than $1,000.00 loan payment monthly will allow me to save a generous portion of my monthly budget, something I am looking forward to greatly.<br>",debt_consolidation,Debt Consolidation Loan,080xx,NJ,14.03,0,Nov-81
,,10000,10000,9975, 60 months,15.96%,242.97,C,C5,US Legal Support,2 years,RENT,29120,Verified,Dec-11,Fully Paid,n,,,debt_consolidation,Brown Eyes Loan,330xx,FL,22.83,0,Feb-97
,,5000,5000,5000, 36 months,8.90%,158.77,A,A5,Good Samaritan Society,2 years,RENT,24044,Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/16/11 > The purpose of this loan is to pay off a couple of high interest credicards and holidays expenses so I can start the new year having only one creditor. Thank you for making this possible.Merry Christmas e a Prosperous New Year to all. Thank you<br>,debt_consolidation,Consolidation,974xx,OR,11.93,0,Apr-05
,,7000,7000,7000, 36 months,15.96%,245.97,C,C5,GREG BARRETT DRYWALL,7 years,RENT,34000,Source Verified,Dec-11,Fully Paid,n,,,credit_card,Credit Card Loan,934xx,CA,6.35,0,Oct-07
,,12400,12400,12400, 36 months,10.65%,403.91,B,B2,Sharp Lawn Inc.,10+ years,RENT,41000,Not Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/16/11 > I plan to use the funding from this loan to pay off my credit cards in order to obtain lower interest rates and to have only one payment per month. I will be saving around $80 per month on interest including loan fees. I plan on using extra money to start an IRA. Worked at same business for 10 years<br>,credit_card,December 2011 Credit Card Loan,405xx,KY,11.8,0,Jul-05
,,10800,10800,10800, 36 months,9.91%,348.03,B,B1,Department of Justice,2 years,RENT,55596,Source Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/19/11 > I have a very stable job &amp; am moving to get a better position. Thanks for your help!<br><br>  Borrower added on 12/22/11 > Almost there, am ready to take care of business, Merry Christmas! ^_^<br>",moving,Moving to better job; help a veteran!,946xx,CA,5.5,0,Dec-00
,,15000,15000,15000, 36 months,7.90%,469.36,A,A4,Gateway Hospice,1 year,RENT,45000,Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/15/11 > I am looking to pay off all my credit cards and have one lump sum to pay each month.  I graduated with my masters 2 years ago.  It took me a year to find a good job and I have been with them for a year now.  The next thing for me to fix in my life is my credit situation.  If I can pay one lump sum I will be saving money each month.  I would really appreciate the consideration of being approved.<br>,debt_consolidation,Debt Consolidation Loan,445xx,OH,8.48,0,Nov-04
,,6000,6000,6000, 36 months,12.42%,200.5,B,B4,Cox Communications,1 year,RENT,36852,Source Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/15/11 > This loan will be used to clear out my current credit cards to $0 balances and close them.  I have really high interest rates on them and chasing multiple minimum payments around is not working out so well.<br><br> Borrower added on 12/15/11 > I currently pay about $480 per month in minimums and have the lower interest rate is going to lower the payments so much, that i will actualy be paying this loan off in about half the time as ihave already learned to live with the 480 per month. <br><br>  Borrower added on 12/16/11 > For te consolidation of credit cards and to clear all revolving debt.<br>",debt_consolidation,Credit Card Consolidation,850xx,AZ,10.62,0,Apr-07
,,12500,12500,12475, 60 months,12.69%,282.44,B,B5,United States Infrastructure Corporation,1 year,RENT,27000,Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/20/11 > The purpose of this loan is to pay off my credit card debt. The remaining will go towards my student loan.<br>,debt_consolidation,Credit card debt,604xx,IL,16.04,0,Dec-01
,,9600,9600,9600, 36 months,7.51%,298.67,A,A3,Nucor Building Systems,4 years,RENT,68004,Source Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/15/11 > Funds will be used for an upcoming wedding.<br>I have a very stable job and will have no problems paying back the funds.<br>,other,Other Loan,292xx,SC,6.63,0,Jan-03
,,12000,12000,12000, 36 months,7.90%,375.49,A,A4,John Wiley Jr.,10+ years,RENT,62300,Not Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/15/11 > To be used to payoff high interest loans.<br>,debt_consolidation,Debt Consolidation,088xx,NJ,16.7,0,Mar-94
,,3000,3000,3000, 36 months,18.25%,108.84,D,D5,,9 years,MORTGAGE,65000,Not Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/15/11 > Combination of things, including a higher-then expected school tax bill, short term year-end cashflow pinch. <br><br>I intend to pay this off ASAP, once one of my client projects wraps up. <br><br>My business is increasing steadily - recovering nicely from the credit crunch, which affected many of my clientele in 2009 &amp; 2010.<br><br>PS:  I've never been late with a payment. Ever. ;-)<br><br>Thank you ... and happy holidays!<br>",other,Year End Cleanup,180xx,PA,17.39,0,Sep-98
,,4400,4400,4400, 36 months,16.77%,156.37,D,D2,citizens bank,10+ years,RENT,55000,Not Verified,Dec-11,Fully Paid,n,,,debt_consolidation,debt,029xx,RI,20.01,0,Jun-04
,,6000,6000,6000, 36 months,6.03%,182.62,A,A1,"Stewart Enterprises, Inc.",10+ years,MORTGAGE,45600,Not Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/16/11 > Debt Consolidation Loan - Student Loan/Credit Card<br>,debt_consolidation,Debt-Consolidation ,700xx,LA,5.34,0,Nov-95
,,14000,14000,14000, 36 months,9.91%,451.15,B,B1,golfers warehouse,6 years,RENT,80000,Not Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/15/11 > i am opening a small business and need a small amount to finalize the process<br><br>  Borrower added on 12/17/11 > i have over 8 years of profesional experience in this low cost/high return market.  my employee has over 12 years experience as well.<br>,small_business,Small Business Loan,010xx,MA,10,0,Jul-99
,,5000,5000,5000, 36 months,8.90%,158.77,A,A5,STERIS Corporation,10+ years,MORTGAGE,100000,Source Verified,Dec-11,Charged Off,n,,,debt_consolidation,Debt Consolidation for a better life,441xx,OH,16.33,0,Jun-95
,,10000,10000,10000, 36 months,10.65%,325.74,B,B2,Costco Wholesale Corp.,6 years,RENT,27000,Verified,Dec-11,Fully Paid,n,,,other,Other Loan,104xx,NY,11.47,0,Nov-06
,,10000,10000,10000, 36 months,6.03%,304.36,A,A1,Helicoil,10+ years,RENT,60000,Not Verified,Dec-11,Fully Paid,n,,,credit_card,Credit Card Loan,067xx,CT,12.74,0,Sep-92
,,11000,11000,11000, 36 months,6.62%,337.75,A,A2,cognizant technology solutions,5 years,RENT,70000,Not Verified,Dec-11,Fully Paid,n,,,debt_consolidation,Debt Consolitation ,061xx,CT,10.85,0,Jan-02
,,15000,15000,15000, 36 months,9.91%,483.38,B,B1,Caterpillar Inc.,8 years,MORTGAGE,80000,Not Verified,Dec-11,Charged Off,n,,  Borrower added on 12/15/11 > Using to pay off existing loans and credit card debt<br><br>  Borrower added on 12/16/11 > All are of a higher interest rate so this interest rate is substantionaly lower giving me peace of mind..<br><br>  Borrower added on 12/18/11 > My job is very stable and I have seniority over more than 80% of the workforce which makes it highly unlikely for me to get laid off..I made it through the 2008 economic downturn without a beat and I still have unlimited overtime oppurtunity<br>,debt_consolidation,Debt Consolidation Loan,616xx,IL,9.12,0,Apr-92
,,25600,25600,25350, 36 months,9.91%,824.96,B,B1,City of Santa Monica ,9 years,RENT,110000,Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/14/11 > I would like to clear my credit card balances and consolidate as single payment, I am in good standing on all my credits and never missed a payment.<br>",credit_card,Credit card refinance loan,913xx,CA,15.71,0,Jul-99
,,7000,7000,7000, 36 months,10.65%,228.02,B,B2,Aerotek Scientific,< 1 year,RENT,40000,Not Verified,Dec-11,Fully Paid,n,,,debt_consolidation,Loan 12142011,947xx,CA,7.38,0,Apr-04
,,12000,12000,12000, 36 months,15.96%,421.65,C,C5,Chemat Technology Inc,4 years,RENT,50000,Not Verified,Dec-11,Charged Off,n,,,car,Car Loan,914xx,CA,20.88,0,Oct-06
,,12000,12000,12000, 36 months,9.91%,386.7,B,B1,Scott & White,1 year,RENT,46000,Not Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/19/11 > I got crazy with my credit cards in college and now its time to finally pay it all down. I just want a one stop shop to consolidate all my debt so I can feel like I actually am paying my cards down, and also so I can start saving.<br><br> Borrower added on 12/19/11 > Please help me to get rid of my credit card debt in 3 years or less. I've made the mistake of spending too much in college and now it's time to finally pay it all down! One monthly payment and a lower interest rate will definitely help me to reach my goal, and to really start saving for my future.<br>",credit_card,Credit Cards,765xx,TX,8.11,0,May-00
,,21000,21000,20975, 60 months,19.91%,555.33,E,E4,Costco,7 years,RENT,50000,Verified,Dec-11,Charged Off,n,,  Borrower added on 12/20/11 > consolidation  of credit cards.<br>,debt_consolidation, Bill pay of,980xx,WA,21.58,0,Sep-98
,,16000,16000,15950, 60 months,19.91%,423.11,E,E4,CA Technologies,7 years,RENT,81000,Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/16/11 > Will use this opportunity to consolidate my high interest debt obligations, a mojority of which were accrued during school years (undergraduate and graduate degree programs). <br><br>My credit history from the past 10+ years is testament to the fact that i have never missed a payment.<br>",credit_card,refinance debt,017xx,MA,20.52,0,Dec-98
,,10000,10000,10000, 36 months,12.42%,334.16,B,B4,Netflix,< 1 year,OWN,39000,Not Verified,Dec-11,Fully Paid,n,,,debt_consolidation,Debt Consolidation Loan,972xx,OR,18.58,0,Dec-04
